Time,Country,inflation,call_rate,output_gap,credit_pnf,credit_hh,gov_debt,fx,vix,loan_rate,deposit_rate,nim,boj_assets,10y_bond_yield,real_rate,M3,qe_proxy,default_proxy,capital_stress,hh_debt_proxy
2016-12-01,JP,-1.5559023596509292,0.0058985335261845,-0.007011961674225,-0.1128804979497033,-0.0387396809189368,-0.4107847796950068,0.0673491223458429,-3.409823989883096,-0.0446311774668592,-0.0004345988841244,-0.0441965785827348,0.0113273388338708,0.0139977201704723,1.5618008931771137,0.0034342394330337,0.0113273388338708,0.1128804979497033,-3.252746913350658,-2.1233436925382416
2017-01-01,JP,1.304921584600649,-5.987396928281569e-05,-0.0010557663060293,0.5871195020503137,0.2612603190810603,-0.1520629560729958,-0.0097544761360213,-1.9311869913436224,0.0373702549504734,0.0052910071422198,0.0320792478082536,0.0114426207111897,0.0391323010160158,-1.3049814585699318,0.0031657623819327,0.0114426207111897,0.0,-2.5503857412021897,-1.4276161255490574
2017-02-01,JP,-0.4504901265239169,0.0079318075298106,-0.0023586827406347,-0.1106145417194,-0.037671572666234,-0.4107195008008375,-0.0172141238554903,-1.2769623742684253,-0.1029547284592458,0.004306688982427,-0.10726141744167281,0.0122065748547459,-0.0405648920815113,0.4584219340537275,0.0032748698503155,0.0122065748547459,0.1106145417194,-1.0590864151073525,-1.429396305970236
2017-03-01,JP,-0.8742593255600895,-0.0030099629638436,-0.00369189336166,-0.1106145417194,-0.037671572666234,-0.4107195008008375,4.339583958579141e-05,-0.8435745628840579,0.038146204365268,0.0008154011158755,0.0373308032493925,0.0044748980184365,0.0091995914387875,0.8712493625962459,0.0027121493013879,0.0044748980184365,0.1106145417194,-0.7702908244140504,-1.4311764863914145
2017-04-01,JP,2.622498872620937,-0.0110432369674697,-0.0017864453639067,-0.810614541719417,0.0623284273337674,-0.4107195008008375,-0.025341310991739,0.0836034157550393,-0.0111143553294402,0.0015497192756682,-0.0126640746051084,0.0155028900681024,-0.0556994729270547,-2.6335421095884066,0.0013657939250535,0.0155028900681024,0.810614541719417,0.9068820320795647,-1.0329566668125947
2017-05-01,JP,0.0687211638847884,0.0018569410216519,-0.0031433747727884,-0.1128804979497033,-0.0373155365819997,-0.4107195008008375,0.0193642128885001,-3.2401445321059423,-0.0910177197569239,0.0033392647155301,-0.094356984472454,0.0061179077625528,0.0189640749590865,-0.0668642228631365,0.0013590571235582,0.0061179077625528,0.1128804979497033,-3.032907049683785,-1.033312702896829
2017-06-01,JP,0.9074082489796352,-0.0021347404774415,-0.0044903048214166,-0.1128804979497033,-0.0373155365819997,-0.4107195008008375,-0.0119154815632143,-1.6613735804113627,0.0465019672151599,0.0017413556275577,0.0447606115876022,0.002607615407129,0.0291323010160158,-0.9095429894570768,0.0039748921265214,0.002607615407129,0.1128804979497033,-1.5932536940492616,-1.0336687389810633
2017-07-01,JP,-0.4304995390867816,0.0028403040198388,0.0054800614307595,-0.1128804979497033,-0.1373155365820011,-0.4107195008008375,0.0134591437312385,-1.6150167368906292,0.0085313142380003,0.0051322950087713,0.003399019229229,0.0068510887439341,-0.005632182504283,0.43333984310662044,0.0027738449156231,0.0068510887439341,0.1128804979497033,-1.5055352581701549,-0.6340247750652989
2017-08-01,JP,0.4655114183940156,0.0058569410216519,0.0042066644075706,-0.1128804979497033,-0.037671572666234,-0.4107195008008375,-0.0233087710888151,0.30729557632203,-0.0787278130393753,0.0014469313929647,-0.08017474443234,0.0118456507588398,-0.070632182504283,-0.4596544773723637,0.0022434058872349,0.0118456507588398,0.1128804979497033,0.5003508187040733,-0.6329566668125961
2017-09-01,JP,1.82506188266629,-0.0081014664738154,0.0029961824516782,-0.1128804979497033,-0.037671572666234,-0.4107195008008375,0.0086037438664909,-2.680675315149669,0.0371784162227734,0.0042857798621507,0.0328926363606227,0.0036278062550731,0.0439304297477006,-1.8331633491401056,0.0026413078838274,0.0036278062550731,0.1128804979497033,-2.6006874535605884,-0.6318885585598932
2017-10-01,JP,-3.173415043855954,0.0218236670180257,0.0034377837309591,0.187119502050308,0.0623284273337674,-0.4107195008008375,0.0191234076714303,-1.6899551905613297,0.0258856446705597,0.0007944919955992,0.0250911526749605,0.0089236560448799,-0.0007331181384406,3.1952387108739795,0.0029174184617488,0.0089236560448799,0.0,-1.9021658452865982,-0.3308204503071861
2017-11-01,JP,4.579077081770322,-0.0100016444629371,0.0023922438706147,-0.1119093738510059,-0.0373155365819997,-0.4107195008008375,-0.000848787427949,-1.0100298568288313,-0.0178258810292242,0.0062788101553919,-0.0241046911846161,0.007335118238517,-0.0356994729270547,-4.589078726233259,0.0033164973754296,0.007335118238517,0.1119093738510059,-0.8740157917932093,-0.3286842338017804
